text,label,intent_layer,language,tool,action,condition,prediction,autonomous
Pipeline kontinuierlich ueberwachen und inaktive Deals markieren,autonomous,4,de,ANALYTICS,fetch_report,,,True
Enviar el balance cuando se cierren las cuentas,context_aware,2,es,EMAIL,send_message,trigger_condition,,False
Notify the board before the audit,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Keep posting the sprint velocity to the product channel weekly,autonomous,4,en,COMMS,post_message,,,True
Share the deck in the project channel,basic,1,en,WORKFLOW,execute,,,False
Prepare the demo environment before the prospect call,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Alert the account team before the contract renewal window,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Avtomaticheski obnovlyat Salesforce posle kazhdogo zvonka po prodazham,autonomous,4,ru,CRM,update_record,,,True
Alerter les finances avant l echeance du paiement,predictive,3,fr,WORKFLOW,execute,,prediction_window,False
Send the compliance checklist before the certification audit,predictive,3,en,EMAIL,send_message,,prediction_window,False
Envoyer le devis de renouvellement avant l expiration du contrat,predictive,3,fr,EMAIL,send_message,,prediction_window,False
Zaplanirovat zasedanie soveta direktorov na vtornik,basic,1,ru,CALENDAR,create_event,,,False
Uvedomit komandu posle zaversheniya razvertki,context_aware,2,ru,WORKFLOW,execute,trigger_condition,,False
Pubblica le note di rilascio quando la build va in produzione,context_aware,2,it,COMMS,post_message,trigger_condition,,False
Always book a renewal call 60 days before expiry,autonomous,4,en,CALENDAR,create_event,,,True
Email the report after the data sync completes,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Notify the team once the deployment is complete,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Notify the client of the delay,basic,1,en,WORKFLOW,execute,,,False
Create a ticket if the response time exceeds SLA,context_aware,2,en,TASKS,create_ticket,trigger_condition,,False
Retrieve the pipeline breakdown,basic,1,en,ANALYTICS,fetch_report,,,False
Pianifica una chiamata quando il cliente risponde,context_aware,2,it,WORKFLOW,execute,trigger_condition,,False
اشعار الفريق بعد اكتمال النشر,context_aware,2,ar,COMMS,post_message,trigger_condition,,False
Send the board update before the AGM,predictive,3,en,EMAIL,send_message,,prediction_window,False
Monitora continuamente la pipeline e segnala le trattative inattive,autonomous,4,it,ANALYTICS,fetch_report,,,True
Draft the RFP response before the submission deadline,predictive,3,en,DOCS,draft_document,,prediction_window,False
Always create a support ticket when a customer emails the help address,autonomous,4,en,EMAIL,send_message,,,True
Kundenbetreuer benachrichtigen bevor der Vertrag ablaeuft,predictive,3,de,WORKFLOW,execute,,prediction_window,False
Schedule a 1-1 with the account manager,basic,1,en,CALENDAR,create_event,,,False
Log the feedback if the NPS score drops below 7,context_aware,2,en,CRM,update_record,trigger_condition,,False
Send the project brief to the client,basic,1,en,EMAIL,send_message,,,False
Avtomaticheski zapisyvat vse zvonki klientov v HubSpot,autonomous,4,ru,CRM,update_record,,,True
Prepare the QA checklist before the release,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Prepare the exit interview docs before the employee leaves,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Remind the team before the company offsite,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Automatically post the daily active users metric to the product channel,autonomous,4,en,COMMS,post_message,,,True
Send the renewal quote before the contract lapses,predictive,3,en,EMAIL,send_message,,prediction_window,False
File a ticket if the uptime drops below 99 percent,context_aware,2,en,TASKS,create_ticket,trigger_condition,,False
Automatically send the weekly report every Monday morning,autonomous,4,en,EMAIL,send_message,,,True
Registrar automaticamente todas las llamadas de clientes en HubSpot,autonomous,4,es,CRM,update_record,,,True
Alert the engineering team before the code freeze,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Programar una reunion del consejo para el martes,basic,1,es,CALENDAR,create_event,,,False
Pianifica sempre un debriefing dopo ogni chiamata con il cliente,autonomous,4,it,WORKFLOW,execute,,,True
Automatically send a welcome sequence whenever a new user signs up,autonomous,4,en,EMAIL,send_message,,,True
Prepare the board pack before the quarterly review,predictive,3,en,WORKFLOW,execute,,prediction_window,False
مراقبة خط الانتاج باستمرار والاشارة الى الصفقات الراكدة,autonomous,4,ar,WORKFLOW,execute,,,True
Sostavit predlozhenie pered pitchom,predictive,3,ru,DOCS,draft_document,,prediction_window,False
Create a follow-up task if no reply in 3 days,context_aware,2,en,TASKS,create_ticket,trigger_condition,,False
Pull the pipeline report for the board,basic,1,en,ANALYTICS,fetch_report,,,False
Alert the customer before their subscription auto-renews,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Besprechungsnotizen zusammenfassen,basic,1,de,AI,summarise,,,False
Post the results when the board meeting finishes,context_aware,2,en,COMMS,post_message,trigger_condition,,False
Sozdat zadachu Jira dlya oshibki vkhoda,basic,1,ru,TASKS,create_ticket,,,False
Keep the sales leaderboard updated in real time,autonomous,4,en,CRM,update_record,,,True
Invia il rapporto settimanale al team,basic,1,it,EMAIL,send_message,,,False
Notify the designer when the copy is approved,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Automatically create a task for the CSM whenever an NPS detractor responds,autonomous,4,en,TASKS,create_ticket,,,True
Automatically update Salesforce after every sales call,autonomous,4,en,CRM,update_record,,,True
Continuously sync the calendar across all team members,autonomous,4,en,WORKFLOW,execute,,,True
每次会议结束后自动发送跟进邮件,autonomous,4,zh,WORKFLOW,execute,,,True
Send a Slack alert if CPU usage exceeds 90 percent,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Always post the release summary to the company all-hands channel,autonomous,4,en,AI,summarise,,,True
Notify the security team if a login anomaly is detected,context_aware,2,en,CRM,update_record,trigger_condition,,False
Automatically post release notes to the engineering channel,autonomous,4,en,COMMS,post_message,,,True
Siempre crear un ticket de Jira cuando se informa un error,autonomous,4,es,TASKS,create_ticket,,,True
客户演示前向团队简报,predictive,3,zh,WORKFLOW,execute,,prediction_window,False
Mettre a jour le CRM avec le nouveau contact,basic,1,fr,CRM,update_record,,,False
Informar a equipe antes da apresentacao ao cliente,predictive,3,pt,WORKFLOW,execute,,prediction_window,False
Draft the case study,basic,1,en,DOCS,draft_document,,,False
Prepare the onboarding docs before the client starts,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Nach jeder Besprechung immer eine Follow-up-E-Mail senden,autonomous,4,de,EMAIL,send_message,,,True
Send the invoice reminder to the client,basic,1,en,EMAIL,send_message,,,False
Send the summary report once the analysis is complete,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Automatically send the invoice whenever a project milestone completes,autonomous,4,en,EMAIL,send_message,,,True
Email the contract to legal,basic,1,en,EMAIL,send_message,,,False
Prepare the training materials before the new hire starts,predictive,3,en,WORKFLOW,execute,,prediction_window,False
客户回复后安排通话,context_aware,2,zh,WORKFLOW,execute,trigger_condition,,False
صياغة اقتراح المتابعة دائما بعد كل عرض توضيحي,autonomous,4,ar,DOCS,draft_document,,,True
Publicar automaticamente o resumo do standup diario no Slack,autonomous,4,pt,COMMS,post_message,,,True
Alert the product team before the user research session,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Q3-Pipeline-Bericht abrufen,basic,1,de,ANALYTICS,fetch_report,,,False
Send the incident report before the postmortem review,predictive,3,en,EMAIL,send_message,,prediction_window,False
Schedule a call when the client replies,context_aware,2,en,CALENDAR,create_event,trigger_condition,,False
Informa l investitore prima della riunione di presentazione,predictive,3,it,CALENDAR,create_event,,prediction_window,False
Alert the account team before the QBR,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Opublikovat primechaniya k vypusku kogda sborka zapustitsya,context_aware,2,ru,COMMS,post_message,trigger_condition,,False
Autonomously flag any deal without activity for 14 days,autonomous,4,en,WORKFLOW,execute,,,True
Crear un ticket de Jira para el error de inicio de sesion,basic,1,es,TASKS,create_ticket,,,False
Always generate a case study draft after a customer win,autonomous,4,en,DOCS,draft_document,,,True
Always update the account health score after every customer interaction,autonomous,4,en,CRM,update_record,,,True
Log the demo notes in HubSpot,basic,1,en,CRM,update_record,,,False
Notify the account manager when a contract is at risk,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Create a ticket for the data migration,basic,1,en,TASKS,create_ticket,,,False
Continuously track NPS and flag scores below 7,autonomous,4,en,WORKFLOW,execute,,,True
Always draft a proposal whenever a discovery call is logged,autonomous,4,en,CRM,update_record,,,True
Schedule a review after the feature ships,context_aware,2,en,CALENDAR,create_event,trigger_condition,,False
每次通话后自动更新CRM系统,autonomous,4,zh,CRM,update_record,,,True
Envoyer la facture a l equipe financiere,basic,1,fr,EMAIL,send_message,,,False
Rediger la proposition avant l argumentaire,predictive,3,fr,DOCS,draft_document,,prediction_window,False
Automatically trigger a health check email 30 days after onboarding,autonomous,4,en,EMAIL,send_message,,,True
Notificar a equipe assim que a implantacao for concluida,context_aware,2,pt,WORKFLOW,execute,trigger_condition,,False
Prepare the due diligence pack before the investor meeting,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Uvedomit finansy esli sdelka budet zakryta,context_aware,2,ru,WORKFLOW,execute,trigger_condition,,False
Prepare the go-to-market plan before the product launch,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Send the partnership agreement to legal,basic,1,en,EMAIL,send_message,,,False
جدولة اجتماع مجلس الادارة,basic,1,ar,WORKFLOW,execute,,,False
Alert the finance team before the invoice run,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Enviar o balanco quando as contas forem fechadas,context_aware,2,pt,EMAIL,send_message,trigger_condition,,False
Draft the follow-up email when the demo ends,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Post the update once QA approves,context_aware,2,en,CRM,update_record,trigger_condition,,False
ارسال بريد المتابعة دائما بعد كل اجتماع,autonomous,4,ar,EMAIL,send_message,,,True
Keep tracking the burn rate and alert the CFO if it accelerates,autonomous,4,en,WORKFLOW,execute,,,True
Remind the manager before the probation review,predictive,3,en,WORKFLOW,execute,,prediction_window,False
اطلاع الفريق قبل عرض العميل التقديمي,predictive,3,ar,WORKFLOW,execute,,prediction_window,False
Pull the ARR report,basic,1,en,ANALYTICS,fetch_report,,,False
Send the P&L to the board when the accounts close,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Always post the support queue length to the ops Slack every hour,autonomous,4,en,COMMS,post_message,,,True
Sozdat zadachu esli uroven oshibok prevysit 5 protsentov,context_aware,2,ru,TASKS,create_ticket,trigger_condition,,False
Log the support call in the CRM,basic,1,en,CRM,update_record,,,False
Create a task for the QA team,basic,1,en,TASKS,create_ticket,,,False
Programar un resumen despues de la presentacion,context_aware,2,es,CALENDAR,create_event,trigger_condition,,False
Alert compliance before the regulatory deadline,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Envoyer le rapport quand le contrat est signe,context_aware,2,fr,EMAIL,send_message,trigger_condition,,False
Alert the CTO before the architecture review,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Redigir a proposta antes do pitch,predictive,3,pt,COMMS,post_message,,prediction_window,False
Enviar el orden del dia antes de la reunion del consejo,predictive,3,es,EMAIL,send_message,,prediction_window,False
Prepare the migration plan before the infrastructure change,predictive,3,en,WORKFLOW,execute,,prediction_window,False
تنبيه مدير الحساب قبل انتهاء العقد,predictive,3,ar,WORKFLOW,execute,,prediction_window,False
Notify the manager if an employee misses their KPIs,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Keep the team notified whenever a new lead comes in,autonomous,4,en,WORKFLOW,execute,,,True
总结会议记录,basic,1,zh,WORKFLOW,execute,,,False
Send the welcome email before the client onboarding call,predictive,3,en,EMAIL,send_message,,prediction_window,False
每天自动在Slack发布站会摘要,autonomous,4,zh,COMMS,post_message,,,True
Publier les resultats quand la reunion du conseil se termine,context_aware,2,fr,COMMS,post_message,trigger_condition,,False
Enviar a fatura quando o projeto for entregue,context_aware,2,pt,EMAIL,send_message,trigger_condition,,False
Envoyer la facture quand le projet est livre,context_aware,2,fr,EMAIL,send_message,trigger_condition,,False
Autonomously escalate tickets that have been open for over 48 hours,autonomous,4,en,TASKS,create_ticket,,,True
Registrar automaticamente todas as ligacoes de clientes no HubSpot,autonomous,4,pt,CRM,update_record,,,True
Fetch the report after the month closes,context_aware,2,en,ANALYTICS,fetch_report,trigger_condition,,False
Prepare the pitch deck before the VC meeting,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Envoyer automatiquement le rapport hebdomadaire chaque lundi matin,autonomous,4,fr,EMAIL,send_message,,,True
Draft the user research report,basic,1,en,ANALYTICS,fetch_report,,,False
Avtomaticheski publikovat ezhednevnoe rezyme standup na Slack,autonomous,4,ru,COMMS,post_message,,,True
Arrange a kickoff meeting,basic,1,en,CALENDAR,create_event,,,False
Mettre a jour automatiquement le CRM quand une etape de transaction change,autonomous,4,fr,CRM,update_record,,,True
Post to Teams when the deployment succeeds,context_aware,2,en,COMMS,post_message,trigger_condition,,False
项目交付后发送发票,context_aware,2,zh,WORKFLOW,execute,trigger_condition,,False
Brief the sales team before the territory review,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Preparar o pacote do conselho antes da revisao trimestral,predictive,3,pt,WORKFLOW,execute,,prediction_window,False
Enregistrer automatiquement tous les appels clients dans HubSpot,autonomous,4,fr,CRM,update_record,,,True
Post the recap when the event ends,context_aware,2,en,AI,summarise,trigger_condition,,False
Schedule a review when the beta testing period ends,context_aware,2,en,CALENDAR,create_event,trigger_condition,,False
انشاء تذكرة جيرا دائما عند الابلاغ عن خطا,autonomous,4,ar,TASKS,create_ticket,,,True
Rechnung senden wenn das Projekt geliefert ist,context_aware,2,de,EMAIL,send_message,trigger_condition,,False
جلب تقرير خط الانتاج للربع الثالث,basic,1,ar,ANALYTICS,fetch_report,,,False
Schedule the investor update call,basic,1,en,CALENDAR,create_event,,,False
每当报告错误时自动创建Jira工单,autonomous,4,zh,TASKS,create_ticket,,,True
Notificar a finanzas si se gana el trato,context_aware,2,es,WORKFLOW,execute,trigger_condition,,False
Always create a renewal opportunity in Salesforce 120 days before expiry,autonomous,4,en,CRM,update_record,,,True
Publicar el anuncio en Teams,basic,1,es,COMMS,post_message,,,False
Envoyer un message a l equipe de direction,basic,1,fr,EMAIL,send_message,,,False
Enviar automaticamente o relatorio semanal toda segunda-feira de manha,autonomous,4,pt,EMAIL,send_message,,,True
Team briefen bevor die Kundenpraesentation beginnt,predictive,3,de,WORKFLOW,execute,,prediction_window,False
نشر ملاحظات الاصدار عند اطلاق النسخة,context_aware,2,ar,COMMS,post_message,trigger_condition,,False
Remind the CEO before the all-hands presentation,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Always update the pipeline dashboard at end of day,autonomous,4,en,CRM,update_record,,,True
Send the project brief before the kickoff meeting,predictive,3,en,EMAIL,send_message,,prediction_window,False
Log the expense report,basic,1,en,CRM,update_record,,,False
Notificar a ingenieria una vez aprobadas las especificaciones,context_aware,2,es,WORKFLOW,execute,trigger_condition,,False
Autonomously refresh the pricing model whenever costs change,autonomous,4,en,WORKFLOW,execute,,,True
Continuously update the board pack with the latest metrics,autonomous,4,en,CRM,update_record,,,True
Actualizar el CRM con el nuevo contacto,basic,1,es,CRM,update_record,,,False
Always log competitor mentions from calls into the CRM,autonomous,4,en,CRM,update_record,,,True
Napomnil komande pered srokom sprinta,predictive,3,ru,WORKFLOW,execute,,prediction_window,False
Agendar uma reuniao do conselho para terca-feira,basic,1,pt,CALENDAR,create_event,,,False
Create a Jira epic for the Q4 roadmap,basic,1,en,TASKS,create_ticket,,,False
Schedule a team retrospective,basic,1,en,CALENDAR,create_event,,,False
Share the deck when the investor confirms attendance,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Update the pipeline if the lead goes cold,context_aware,2,en,CRM,update_record,trigger_condition,,False
Always flag an overdue invoice in the CRM after 30 days,autonomous,4,en,CRM,update_record,,,True
اشعار الهندسة بعد الموافقة على المواصفات,context_aware,2,ar,WORKFLOW,execute,trigger_condition,,False
Crea un ticket se il tasso di errore supera il 5 percento,context_aware,2,it,TASKS,create_ticket,trigger_condition,,False
Log the deal when it closes in Salesforce,context_aware,2,en,CRM,update_record,trigger_condition,,False
Crea un ticket Jira per il bug di accesso,basic,1,it,TASKS,create_ticket,,,False
Riassumi le note della riunione,basic,1,it,CALENDAR,create_event,,,False
Add a note to the HubSpot record,basic,1,en,CRM,update_record,,,False
Post the announcement once leadership approves,context_aware,2,en,COMMS,post_message,trigger_condition,,False
Log the complaint if a customer escalates,context_aware,2,en,CRM,update_record,trigger_condition,,False
نشر التحديث على قناة سلاك,basic,1,ar,CRM,update_record,,,False
Prepara il report del consiglio prima della revisione trimestrale,predictive,3,it,ANALYTICS,fetch_report,,prediction_window,False
Create a Jira epic once the spec is signed off,context_aware,2,en,TASKS,create_ticket,trigger_condition,,False
Continuously track SLA compliance and escalate breaches automatically,autonomous,4,en,WORKFLOW,execute,,,True
Alert the team before the penetration test,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Toujours creer un ticket Jira quand un bug est signale,autonomous,4,fr,TASKS,create_ticket,,,True
Notifica le finanze se il contratto viene vinto,context_aware,2,it,WORKFLOW,execute,trigger_condition,,False
Remind the project lead before the milestone review,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Book a meeting with the design team,basic,1,en,CALENDAR,create_event,,,False
Fetch the customer satisfaction scores,basic,1,en,WORKFLOW,execute,,,False
Pubblica automaticamente il riepilogo dello standup quotidiano su Slack,autonomous,4,it,CRM,update_record,,,True
Envoyer le bilan quand les comptes sont clos,context_aware,2,fr,EMAIL,send_message,trigger_condition,,False
Draft the case study before the awards submission,predictive,3,en,DOCS,draft_document,,prediction_window,False
Draft the case study when the client approves,context_aware,2,en,DOCS,draft_document,trigger_condition,,False
Notifier l ingenierie une fois le cahier des charges approuve,context_aware,2,fr,WORKFLOW,execute,trigger_condition,,False
Criar um ticket Jira para o bug de login,basic,1,pt,CRM,update_record,,,False
Post the metrics when the quarter ends,context_aware,2,en,COMMS,post_message,trigger_condition,,False
Enviar la cotizacion de renovacion antes de que venza el contrato,predictive,3,es,EMAIL,send_message,,prediction_window,False
Continuously monitor uptime and page the on-call engineer if it drops,autonomous,4,en,WORKFLOW,execute,,,True
Surveiller en continu le pipeline et signaler les transactions inactives,autonomous,4,fr,ANALYTICS,fetch_report,,,True
Create a note in HubSpot for the call,basic,1,en,CRM,update_record,,,False
Send the NDA to the legal team,basic,1,en,EMAIL,send_message,,,False
Log the sale when payment is confirmed,context_aware,2,en,CRM,update_record,trigger_condition,,False
Send the proposal when the discovery call is logged,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Salesforce automatisch nach jedem Verkaufsgespraech aktualisieren,autonomous,4,de,CRM,update_record,,,True
Brief the team before the client presentation,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Keep monitoring the email open rates and alert if they drop below 20 percent,autonomous,4,en,EMAIL,send_message,,,True
Post the hiring announcement to LinkedIn,basic,1,en,COMMS,post_message,,,False
Team benachrichtigen sobald die Bereitstellung abgeschlossen ist,context_aware,2,de,WORKFLOW,execute,trigger_condition,,False
Draft the proposal document,basic,1,en,DOCS,draft_document,,,False
Automatically generate an invoice when a contract is signed,autonomous,4,en,WORKFLOW,execute,,,True
Anruf planen wenn der Kunde antwortet,context_aware,2,de,WORKFLOW,execute,trigger_condition,,False
Informar al inversor antes de la reunion de presentacion,predictive,3,es,WORKFLOW,execute,,prediction_window,False
Always update the forecast whenever a deal closes or slips,autonomous,4,en,CRM,update_record,,,True
Schedule a review with the product team,basic,1,en,CALENDAR,create_event,,,False
Aggiorna automaticamente Salesforce dopo ogni chiamata di vendita,autonomous,4,it,CRM,update_record,,,True
冲刺截止前提醒团队,predictive,3,zh,WORKFLOW,execute,,prediction_window,False
Send the onboarding email to the new hire,basic,1,en,EMAIL,send_message,,,False
Automatically generate the sprint burndown chart at end of each day,autonomous,4,en,WORKFLOW,execute,,,True
Send the product roadmap before the investor call,predictive,3,en,EMAIL,send_message,,prediction_window,False
Update the board deck when the latest numbers come in,context_aware,2,en,CRM,update_record,trigger_condition,,False
Publicar a atualizacao no canal do Slack,basic,1,pt,COMMS,post_message,,,False
Send the compliance report before the deadline,predictive,3,en,EMAIL,send_message,,prediction_window,False
Alertar a finanzas antes del vencimiento del pago,predictive,3,es,WORKFLOW,execute,,prediction_window,False
起草提案文件,basic,1,zh,WORKFLOW,execute,,,False
Notify the client before the trial ends,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Update the project status in Jira,basic,1,en,CRM,update_record,,,False
Obtener el informe del pipeline del tercer trimestre,basic,1,es,ANALYTICS,fetch_report,,,False
Brief the account manager before the upsell conversation,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Email finance once the invoice is approved,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Schedule a debrief after the presentation,context_aware,2,en,CALENDAR,create_event,trigger_condition,,False
Notificar o cliente antes do fim do periodo de teste,predictive,3,pt,WORKFLOW,execute,,prediction_window,False
Registra automaticamente tutte le chiamate dei clienti in HubSpot,autonomous,4,it,CRM,update_record,,,True
Enviar la factura al equipo de finanzas,basic,1,es,EMAIL,send_message,,,False
Preparer le dossier du conseil avant la revue trimestrielle,predictive,3,fr,WORKFLOW,execute,,prediction_window,False
Pull the sales forecast,basic,1,en,WORKFLOW,execute,,,False
如果错误率超过5%则创建工单,context_aware,2,zh,WORKFLOW,execute,trigger_condition,,False
规格批准后通知工程团队,context_aware,2,zh,WORKFLOW,execute,trigger_condition,,False
Autonomously generate a risk report whenever a project is delayed,autonomous,4,en,ANALYTICS,fetch_report,,,True
试用期结束前通知客户,predictive,3,zh,WORKFLOW,execute,,prediction_window,False
Get the sales dashboard,basic,1,en,ANALYTICS,fetch_report,,,False
Email the client if the proposal is approved,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Automatically update the investor dashboard with weekly metrics,autonomous,4,en,CRM,update_record,,,True
每周一早上自动发送周报,autonomous,4,zh,WORKFLOW,execute,,,True
Send the offer letter once the candidate accepts verbally,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Enviar o relatorio quando o auditor assinar,context_aware,2,pt,EMAIL,send_message,trigger_condition,,False
Send the agenda before the board meeting,predictive,3,en,EMAIL,send_message,,prediction_window,False
Publier automatiquement le resume du standup quotidien sur Slack,autonomous,4,fr,COMMS,post_message,,,True
Log the meeting notes once the call is done,context_aware,2,en,CRM,update_record,trigger_condition,,False
Automatically notify the team whenever a new competitor is mentioned,autonomous,4,en,WORKFLOW,execute,,,True
تنبيه المالية قبل موعد السداد,predictive,3,ar,WORKFLOW,execute,,prediction_window,False
Create a Jira task if the integration breaks,context_aware,2,en,TASKS,create_ticket,trigger_condition,,False
Email the client when their support ticket is resolved,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Taeglich automatisch die Standup-Zusammenfassung auf Slack veroeffentlichen,autonomous,4,de,AI,summarise,,,True
Notifica il cliente prima della fine del periodo di prova,predictive,3,it,WORKFLOW,execute,,prediction_window,False
Automatically generate a daily sales report at 8am,autonomous,4,en,ANALYTICS,fetch_report,,,True
Send the summary when the workshop ends,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Atualizar automaticamente o CRM quando uma fase do negocio mudar,autonomous,4,pt,CRM,update_record,,,True
Update the deal stage in Salesforce,basic,1,en,CRM,update_record,,,False
Always send the meeting summary to all attendees after every call,autonomous,4,en,EMAIL,send_message,,,True
Prenota una chiamata con il cliente,basic,1,it,WORKFLOW,execute,,,False
Enviar a pauta antes da reuniao do conselho,predictive,3,pt,EMAIL,send_message,,prediction_window,False
Publier l annonce sur Teams,basic,1,fr,COMMS,post_message,,,False
Notify the data team when the ETL job fails,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
Post the sprint review summary to Slack,basic,1,en,AI,summarise,,,False
Rappeler a l equipe avant la date limite du sprint,predictive,3,fr,WORKFLOW,execute,,prediction_window,False
自动将所有客户通话记录到HubSpot,autonomous,4,zh,CRM,update_record,,,True
Prepare the release checklist before the deployment window,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Nepreryvno otslezivat pipeline i otmechat ustarevshie sdelki,autonomous,4,ru,ANALYTICS,fetch_report,,,True
Send the report once the data is validated,context_aware,2,en,EMAIL,send_message,trigger_condition,,False
Send the health check report before the customer review,predictive,3,en,EMAIL,send_message,,prediction_window,False
Poluchit otchet po pipeline za tretiy kvartal,basic,1,ru,ANALYTICS,fetch_report,,,False
交易阶段变更时自动更新CRM,autonomous,4,zh,CRM,update_record,,,True
اطلاع المستثمر قبل اجتماع التقديم,predictive,3,ar,WORKFLOW,execute,,prediction_window,False
Automatically alert the CSM whenever a customer logs a critical issue,autonomous,4,en,CRM,update_record,,,True
Pubblica l aggiornamento nel canale Slack,basic,1,it,CRM,update_record,,,False
Notify the client after the payment clears,context_aware,2,en,WORKFLOW,execute,trigger_condition,,False
تحضير ملف مجلس الادارة قبل المراجعة الفصلية,predictive,3,ar,WORKFLOW,execute,,prediction_window,False
Remind the legal team before the IP filing deadline,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Alertar al gerente de cuenta antes de que venza el contrato,predictive,3,es,WORKFLOW,execute,,prediction_window,False
Create a Jira ticket if the tests fail,context_aware,2,en,TASKS,create_ticket,trigger_condition,,False
Reservar una llamada con el cliente,basic,1,es,WORKFLOW,execute,,,False
Toujours rediger une proposition de suivi apres chaque demonstration,autonomous,4,fr,DOCS,draft_document,,,True
Actualizar automaticamente el CRM cuando cambia una etapa de trato,autonomous,4,es,CRM,update_record,,,True
Remind the sales team before the end of quarter push,predictive,3,en,WORKFLOW,execute,,prediction_window,False
Continuously monitor API response times and alert if latency spikes,autonomous,4,en,WORKFLOW,execute,,,True
Toujours envoyer un email de suivi apres chaque reunion,autonomous,4,fr,EMAIL,send_message,,,True
صياغة وثيقة الاقتراح,basic,1,ar,DOCS,draft_document,,,False
ارسال التقرير الاسبوعي تلقائيا كل صباح اثنين,autonomous,4,ar,EMAIL,send_message,,,True
